name	version	license	source
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	crates.io
ahash	0.8.12	MIT OR Apache-2.0	crates.io
aho-corasick	1.1.5	Unlicense OR MIT	crates.io
ambient-authority	0.0.2	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
android_system_properties	0.1.6	MIT OR Apache-2.0	crates.io
annotate-snippets	0.12.16	MIT OR Apache-2.0	crates.io
anstream	1.0.0	MIT OR Apache-2.0	crates.io
anstyle	1.0.14	MIT OR Apache-2.0	crates.io
anstyle-parse	1.0.0	MIT OR Apache-2.0	crates.io
anstyle-query	1.1.5	MIT OR Apache-2.0	crates.io
anstyle-wincon	3.0.11	MIT OR Apache-2.0	crates.io
arbitrary	1.4.2	MIT OR Apache-2.0	crates.io
arc-swap	1.9.2	MIT OR Apache-2.0	crates.io
arraydeque	0.5.1	MIT/Apache-2.0	crates.io
autocfg	1.5.1	Apache-2.0 OR MIT	crates.io
base64	0.23.1	MIT OR Apache-2.0	crates.io
bifrost-extension-lsp-example	0.1.0	Apache-2.0	workspace
bifrost-extension-mcp-example	0.1.0	Apache-2.0	workspace
bifrost-extension-template	0.1.0	Apache-2.0	workspace
bincode	1.3.3	MIT	crates.io
bitflags	1.3.2	MIT/Apache-2.0	crates.io
bitflags	2.13.1	MIT OR Apache-2.0	crates.io
block-buffer	0.10.4	MIT OR Apache-2.0	crates.io
brokk-bifrost-analysis	0.10.1	Apache-2.0	crates.io
brokk-bifrost-core	0.10.1	Apache-2.0	crates.io
brokk-bifrost-cpp	0.10.1	Apache-2.0	crates.io
brokk-bifrost-csharp	0.10.1	Apache-2.0	crates.io
brokk-bifrost-go	0.10.1	Apache-2.0	crates.io
brokk-bifrost-js-ts	0.10.1	Apache-2.0	crates.io
brokk-bifrost-jvm	0.10.1	Apache-2.0	crates.io
brokk-bifrost-php	0.10.1	Apache-2.0	crates.io
brokk-bifrost-policy	0.10.1	Apache-2.0	crates.io
brokk-bifrost-python	0.10.1	Apache-2.0	crates.io
brokk-bifrost-rql	0.10.1	Apache-2.0	crates.io
brokk-bifrost-ruby	0.10.1	Apache-2.0	crates.io
brokk-bifrost-runtime	0.10.1	Apache-2.0	crates.io
brokk-bifrost-rust	0.10.1	Apache-2.0	crates.io
brokk-tree-sitter-kotlin	0.4.0	MIT	crates.io
bstr	1.13.1	MIT OR Apache-2.0	crates.io
bumpalo	3.20.3	MIT OR Apache-2.0	crates.io
bytes	1.12.1	MIT	crates.io
cap-fs-ext	4.0.2	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
cap-primitives	4.0.2	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
cap-std	4.0.2	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	crates.io
cc	1.4.2	MIT OR Apache-2.0	crates.io
cesu8	1.1.0	Apache-2.0/MIT	crates.io
cfg-if	1.0.4	MIT OR Apache-2.0	crates.io
chrono	0.4.45	MIT OR Apache-2.0	crates.io
clap	4.6.6	MIT OR Apache-2.0	crates.io
clap_builder	4.6.6	MIT OR Apache-2.0	crates.io
clap_derive	4.6.4	MIT OR Apache-2.0	crates.io
clap_lex	1.1.0	MIT OR Apache-2.0	crates.io
colorchoice	1.0.5	MIT OR Apache-2.0	crates.io
core-foundation-sys	0.8.7	MIT OR Apache-2.0	crates.io
cpufeatures	0.2.17	MIT OR Apache-2.0	crates.io
crc32fast	1.5.0	MIT OR Apache-2.0	crates.io
crossbeam-channel	0.5.16	MIT OR Apache-2.0	crates.io
